epoch,energy,energy_std,grad_amp_before,grad_phi_before,grad_amp_after,grad_phi_after,learning_rate
0,17.37055,2.1096299,10.028448,0.78486246,0.48557466,1.6382422,0.04
1,17.306475,2.1972942,9.861435,1.0046933,0.48910102,1.9796994,0.049999997
2,17.049086,2.424387,11.578949,1.4957236,0.49785158,2.4202666,0.062499996
3,16.537188,2.866427,13.647388,2.4305322,0.5294227,3.325096,0.07812499
4,15.114425,3.5594413,14.835899,5.022712,0.6061857,4.5466495,0.09765624
5,10.963219,4.564084,17.436779,8.489323,0.95670813,5.477125,0.122070305
6,3.2950468,4.8065624,20.881266,7.9655266,1.1647624,4.074945,0.15258788
7,-1.3093115,4.1161656,22.373129,3.4263444,1.0425123,2.0191517,0.19073485
8,-2.4509232,4.11014,21.764944,2.6437895,1.0379635,1.7719468,0.2
9,-3.0429542,4.1535673,23.471138,3.9135985,1.02472,1.9101967,0.2
10,-4.042338,4.1643043,24.384087,4.172187,1.0719827,1.8273468,0.2
11,-5.24605,4.29474,22.343683,3.704956,1.0898874,2.1316953,0.2
12,-6.33919,4.4231486,22.490158,4.0321255,1.1674143,2.1240275,0.2
13,-7.4707203,4.5805974,21.96485,2.8969624,1.3157783,2.0785758,0.2
14,-8.103093,4.813117,23.68097,3.3751187,1.4159906,2.2492528,0.2
15,-9.315607,5.2207165,27.125534,3.7887778,1.645893,2.3764408,0.2
16,-10.065219,5.540731,27.3661,4.1069856,1.7164322,2.468154,0.2
17,-11.216547,5.937888,25.774862,5.1224294,1.9361473,2.448149,0.2
18,-11.87037,6.3966384,29.099964,5.3050303,2.1247344,2.3789337,0.2
19,-12.636814,6.868287,27.07618,5.567337,2.4571133,2.616984,0.2
20,-13.619619,7.452287,28.823704,7.125694,2.591645,2.8638442,0.2
21,-14.343314,7.6659575,25.340347,5.8551536,2.7423713,2.9697938,0.2
22,-15.379246,7.51508,14.837499,9.795541,2.703377,3.2028022,0.2
23,-16.056244,7.6367097,16.768005,6.878537,2.740947,3.1406903,0.2
24,-16.985153,7.577325,21.318047,10.323555,2.726783,3.332108,0.2
25,-17.61103,7.7018995,21.77341,7.2173142,2.667827,3.930112,0.2
26,-18.615257,7.336277,21.92441,16.186876,2.4122868,4.6478624,0.14789318
27,-20.939579,5.9646707,20.748196,12.187899,1.7902542,4.567362,0.18486647
28,-20.26192,7.256595,17.249107,18.401995,2.2848608,5.9540586,0.12980914
29,-21.435215,5.3651924,16.852121,13.590855,1.4108402,5.5245385,0.0840449
30,-22.546288,4.0066004,13.592902,6.311414,1.0142566,4.143527,0.07426657
31,-22.801796,3.85699,12.950232,6.7293587,0.9798457,3.9205189,0.04866608
32,-23.002703,3.3860157,14.290198,6.407098,0.92385405,2.8108172,0.030710045
33,-23.196497,2.8092196,12.232898,1.7139935,0.90688896,1.5158981,0.038387556
34,-23.313175,2.737699,11.900384,1.5986307,0.9298857,1.2448403,0.047984444
35,-23.39297,2.675794,10.573621,1.0931207,0.93348944,1.1109291,0.059980556
36,-23.433609,2.680443,11.912662,2.0042467,0.90436614,1.4524266,0.0749757
37,-23.43157,2.8213649,10.484578,3.2442093,0.88285416,2.1407285,0.043825965
38,-23.555328,2.6766534,10.579846,3.7904618,0.88476616,1.6223184,0.029963527
39,-23.4915,2.3161817,10.065107,1.4660472,0.8360586,0.8755301,0.037454408
40,-23.501282,2.3263693,9.849476,1.7528136,0.8289124,0.8574867,0.04681801
41,-23.579758,2.313713,10.532115,1.7918824,0.8416557,0.79759806,0.058522515
42,-23.619635,2.3969657,11.537609,2.4203918,0.8277292,1.1454204,0.055951644
43,-23.607836,2.356192,9.482501,3.1689832,0.80277467,1.266806,0.040601116
44,-23.675343,2.2899418,8.7931385,3.2315676,0.78980917,1.0220226,0.029625606
